text,date,sentiment
"SA WAKAS! OKAY NA LINE UP NG SOLFEST, WALA NA YUNG EPAL",3/23/24,
"baka naman pwede small bag pero hindi transparent sa solfest, jusko naman oh",3/24/24,
Huh? They can’t match flair daw but tbh mas maayos ang d-day ng solfest kesa sa flair? lalo na yung entry sa venue…,3/25/24,
"Daming reklamo about solfest, yes may late updates sila pero ewan if na-immune kaming mga unattend sa flair na last minute yung guidelines na binaba.",3/26/24,
parang i was robbed last night with vvip sa solfest ???? i was treated like i was GENAD but seated.,3/27/24,
"Payag kayo nun CEATSG, ""Solfest"" pero naulan???",3/28/24,
"Tapos na yung Solfest at lahat-lahat, tapos na rin yung term pero ‘di ko pa rin nakukuha yung hoodie ko sa ceatsthetic na yan. Wala rin update jusko naman. Pwede ba re-fund kung may itatagal pa yan @ceatsg?",3/29/24,
"Kung ako sa project head ng solfest magtatago na ako, ang dami ninyong taong inagrabyado!!",3/30/24,
Not from cbaa and ceat pero to be fair mas feel ko yung concert vibe sa solfest kesa sa flair tho parehas maganda ang line-up… it’s just that parang concert ni mayor ang flair HAHA,3/31/24,
Pwede po ba mag suot ng crocs sa solfest?,4/1/24,
hello po looking for kasama po sa solfest gen ad solo goer non dlsu d po may gc napo kami,4/2/24,
